"Full name of the territorial agency","Abbreviated name of the territorial agency","Surname, First name, Patronymic","Post","Description of the functions of territorial agency","Postal address","Working hours","OKTMO","OKATO","OKPO","OGRN","TIN","Telephone number of the inquiries","Telephone number (others)","Fax","URL","E-mail"
"Управление Федеральной службы судебных приставов по Кировской области","УФССП России по Кировской области","Бровченко Дмитрий Леонидович","Руководитель УФССП России по Кировской области - главный судебный пристав Кировской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","610000, г. Киров, ул. Московская, д. 57","Понедельник - четверг с 8.00 до 17.00, пятница с 8.00 до 15.45","33000000","33401364000","73594993","1044316880288","4345093331",88332489900,,88332489967,"https://r43.fssp.gov.ru","mail@r43.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Костромской области","УФССП России по Костромской области","Шильников Денис Андреевич","Руководитель Управления Федеральной службы судебных приставов по Костромской области – главный судебный пристав Костромской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","156961, г. Кострома, ул. Островского, д. 37","Понедельник – четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45, пятница с 09.00 до 16.45","34701000","34401000000","00013474","1044408642332","4401050486",84942659006,84942659001,84942659005,"https://r44.fssp.gov.ru","mail@r44.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Курганской области","УФССП России по Курганской области","Уварова Ирина Лазаревна","Руководитель Управления - главный судебный пристав","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","640000, г. Курган, ул. Коли Мяготина, 119","Понедельник - четверг с 8:00 до 17:00, пятница с 8-00 до 16-00, перерыв с 12:00 до 12:48 ","37701000","37401000000","70573200","1044500026735","4501111767",83522491800,,83522491855,"https://r45.fssp.gov.ru","mail@r45.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Курской области","УФССП России по Курской области","Шкурина Елена Васильевна","Врио руководителя Управления - главного судебного пристава","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","305018, г. Курск, ул. Черняховского, д. 4, ","Понедельник - четверг с 9:00 до 18:00, перерыв с 13:00 до 13:45, пятница с 9:00 до 16:45","38701000","38401000000","74393877","1044637042603","4632048460",84712360750,84712360756,84712360767,"https://r46.fssp.gov.ru","mail@r46.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Ленинградской области","УФССП России по Ленинградской области","Абатуров Глеб Владимирович","Руководитель УФССП России по Ленинградской области - главный судебный пристав Ленинградской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","199106,  г. Санкт-Петербург, Большой пр. В.О., д. 80, лит. Б","Понедельник - четверг с 9:00 до 18:00, пятница с 09:00 до 16:45","40911000","40298564000","73340695","1047833068920","7842012440",88123329800,88123329826,88123329801,"https://r47.fssp.gov.ru","mail@r47.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Липецкой области","УФССП России по Липецкой области","Макаров Глеб Валентинович","Руководитель УФССП России по Липецкой области - главный судебный пристав Липецкой области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","398043, г. Липецк, ул. Валентины Терешковой, д. 14, корп. 3","Понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 16.45 ","42000000","42000000000","74015342","1044800226580","4826044753",,,84742354123,"https://r48.fssp.gov.ru","mail@r48.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Магаданской области","УФССП России по Магаданской области","Фирманов Анатолий Александрович","Руководитель УФССП России по Магаданской области - главный судебный пристав Магаданской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","685000, г. Магадан, пр. Карла Маркса, д. 60","Понедельник - четверг с 9.00 до 18.45 для мужчин, с 9.00 до 17.45 для женщин, пятница с 9.00 до 17.30","44701000","44401000000","33959501","1054900000473","4909008999",84132605175,,84132649685,"https://r49.fssp.gov.ru","mail@r49.fssp.gov.ru"
"Главное управление Федеральной службы судебных приставов по Московской области","ГУФССП России по Московской области","Коновалов Николай Викторович","Руководитель ГУФССП России по Московской области - главный судебный пристав Московской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","143400, Московская область, г. Красногорск, ул. Речная, д. 8","Понедельник - среда с 9.00 до 18.00, четверг с 9.00 до 18.00, пятница с 9.00 до 16.45","46000000","46000000000","75397311","1047727043550","7727270309","84955805900","84955805961","84955805940","https://r50.fssp.gov.ru","mail@r50.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Мурманской области","УФССП России по Мурманской области","Малюшкин Александр Сергеевич","Руководитель УФССП России по Мурманской области - главный судебный пристав Мурманской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","183012, г. Мурманск, ул. Карла Либкнехта, д. 46, корп. 2","Понедельник - четверг с 09:00 до 18:00, перерыв с 13:00 до 13:45, пятница с 09:00 до 16:45, перерыв с 13:00 до 13:45","47701000","47401000000","71896885","1045100220274","5190132481",88152428693,88152420855,88152420855,"https://r51.fssp.gov.ru","mail@r51.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Нижегородской области","УФССП России по Нижегородской области","Морковкин Леонид Игоревич","Руководитель УФССП России по Нижегородской области - главный судебный пристав Нижегородской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","603950, г. Нижний Новгород, ул. Вождей Революции, д. 5А","Понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 16.45, перерыв с 12.30 до 13.30","22701000","22401000000","75675023","1045207492461","5263047008",88312232980,88312239953,88312232981,"https://r52.fssp.gov.ru","mail@r52.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Новгородской области","УФССП России по Новгородской области","Безызвестных Татьяна Георгиевна","Руководитель Управления - главный судебный пристав Новгородской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","173001 г. Великий Новгород, ул. Ильина, д. 6","Понедельник - пятница, с 8:30 до 17:30, перерыв с 13:00 до 14:00","49701000","49401000000","74991584","1045300293422","5321100670",88162993600,88162774463,88162993619,"https://r53.fssp.gov.ru","mail@r53.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Новосибирской области","УФССП России по Новосибирской области","Бабков Эдуард Витальевич","Руководитель Управления - главный судебный пристав Новосибирской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","630005, г. Новосибирск, ул. Красный проспект, д. 86/1","Понедельник - четверг с 8:00 до 17:00, пятница с 08:00 до 15:45","50701000","50401386000","74953661","1045402545825","5406299260",83832410707,83832410706,83832410705,"https://r54.fssp.gov.ru","mail@r54.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Омской области","УФССП России по Омской области","Титова Галина Михайлолвна","Руководитель Управления - главный судебный пристав","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","644099, г. Омск, ул. Ленина, 14","Понедельник - четверг с 8:30 до 17:45, пятница с 8:30 до 16:30","52701000","52401000000","56418183","1045504039140","5503085514",,83812557187,83812244887,"https://r55.fssp.gov.ru","mail@r55.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Оренбургской области","УФССП России по Оренбургской области","Косогорская Галина Владимировна","Врио руководителя Управления - главного судебного пристава","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","460023, г. Оренбург, ул. Ткачева, д. 8","Понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45, перерыв с 13.00 до 13:45","53000000","53401368000","74718115","1045605473308","5611032615",83532472600,,83532341900,"https://r56.fssp.gov.ru","mail@r56.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Орловской области","УФССП России по Орловской области","Смирнов Михаил Витальевич","Руководитель УФССП России по Орловской области - главный судебный пристав Орловской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","302010, г. Орел, ул. Авиационная, д. 5","Понедельник - четверг с 9:00 до 18:00, пятница с 9:00 до 17:00","54701000","54401000000","75660792","1045752010941","5752035640",84862725280,84862725283,84862724202,"https://r57.fssp.gov.ru","mail@r57.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Пензенской области","УФССП России по Пензенской области","Илькин Николай Кузьмич","Руководитель УФССП России по Пензенской области –  главный судебный пристав Пензенской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","440008, г. Пенза, ул. Пушкина, д. 17А","Понедельник - четверг с 9:00 до 18:00, пятница с 9:00 до 16:45. Перерыв с 13:00 до 13:45, четверг с 12:00 до 12:45","56701000","56401000000","00013474","1045802010253","5835013315",88412906503,88412681987,88412683887,"https://r58.fssp.gov.ru","mail@r58.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Пермскому краю","УФССП России по Пермскому краю","Неведомский Сергей Анатольевич","Руководитель Управления - главный судебный пристав","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","614066, г. Пермь, ул. Советской, д. 28","Понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 17.00, перерыв с 13.00 до 13.48","57701000","57401367000","78897617","1065905100150","5905239700",83422298005,83422277869,"83452495346/83452495345","https://r59.fssp.gov.ru","mail@r59.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Псковской области","УФССП России по Псковской области","Колесников Сергей Анатольевич","Руководитель УФССП России по Псковской области–главный судебный пристав Псковской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","180019, г. Псков, ул. Текстильная, д. 3","Понедельник - четверг с 9:00 до 18:00, пятница с 9:00 до 16:45, перерыв с 13:00 до 14:00","58701000","58401000000","74324994","1046000329275","6027086158",88112699001,88112699099,,"https://r60.fssp.gov.ru","mail@r60.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Ростовской области","УФССП России по Ростовской области","Казанов Евгений Николаевич","Руководитель Управления - главный судебный пристав Ростовской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","344002, г. Ростов-на-Дону, пер. Соборный, д. 2А","Понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45","60000000","60000000000","73294073","1046164044827","6164229665",,,88632624469,"https://r61.fssp.gov.ru","mail@r61.fssp.gov.ru"
